PersonID,RawRecordID,Reason,Confidence,SourceFile,SourceRow
SAGP000001,RAW000001,exact_email,100,NJ.csv,2
SAGP000001,RAW000049,exact_email,100,NYD.csv,4
SAGP000001,RAW001665,exact_email,100,contacts.csv,30
SAGP000002,RAW000002,exact_email,100,NJ.csv,3
SAGP000002,RAW001243,exact_email,100,SAGP 9.csv,11
SAGP000002,RAW001933,exact_email,100,contacts.csv,298
SAGP000003,RAW000003,exact_email,100,NJ.csv,4
SAGP000003,RAW001971,exact_email,100,contacts.csv,336
SAGP000004,RAW000004,exact_email,100,NJ.csv,5
SAGP000004,RAW001982,exact_email,100,contacts.csv,347
SAGP000005,RAW000005,exact_email,100,NJ.csv,6
SAGP000005,RAW002062,exact_email,100,contacts.csv,427
SAGP000006,RAW000006,exact_email,100,NJ.csv,7
SAGP000006,RAW002200,exact_email,100,contacts.csv,565
SAGP000007,RAW000007,exact_email,100,NJ.csv,8
SAGP000007,RAW002210,exact_email,100,contacts.csv,575
SAGP000008,RAW000009,exact_email,100,NJ.csv,10
SAGP000008,RAW002448,exact_email,100,contacts.csv,813
SAGP000009,RAW000010,exact_email,100,NJ.csv,11
SAGP000009,RAW002548,exact_email,100,contacts.csv,913
SAGP000010,RAW000011,exact_email,100,NJ.csv,12
SAGP000010,RAW002592,exact_email,100,contacts.csv,957
SAGP000011,RAW000012,exact_email,100,NJ.csv,13
SAGP000011,RAW002617,exact_email,100,contacts.csv,982
SAGP000012,RAW000013,exact_email,100,NJ.csv,14
SAGP000012,RAW002718,exact_email,100,contacts.csv,1083
SAGP000013,RAW000014,exact_email,100,NJ.csv,15
SAGP000013,RAW002768,exact_email,100,contacts.csv,1133
SAGP000014,RAW000015,exact_email,100,NJ.csv,16
SAGP000014,RAW002818,exact_email,100,contacts.csv,1183
SAGP000015,RAW000016,exact_email,100,NJ.csv,17
SAGP000015,RAW002856,exact_email,100,contacts.csv,1221
SAGP000016,RAW000017,exact_email,100,NJ.csv,18
SAGP000016,RAW003073,exact_email,100,contacts.csv,1438
SAGP000017,RAW000018,exact_email,100,NJ.csv,19
SAGP000017,RAW003212,exact_email,100,contacts.csv,1577
SAGP000018,RAW000019,exact_email,100,NJ.csv,20
SAGP000018,RAW003234,exact_email,100,contacts.csv,1599
SAGP000019,RAW000020,exact_email,100,NJ.csv,21
SAGP000019,RAW003299,exact_email,100,contacts.csv,1664
SAGP000020,RAW000021,exact_email,100,NJ.csv,22
SAGP000020,RAW003355,exact_email,100,contacts.csv,1720
SAGP000021,RAW000022,exact_email,100,NJ.csv,23
SAGP000021,RAW003394,exact_email,100,contacts.csv,1759
SAGP000022,RAW000023,exact_email,100,NJ.csv,24
SAGP000022,RAW003424,exact_email,100,contacts.csv,1789
SAGP000023,RAW000024,exact_email,100,NJ.csv,25
SAGP000023,RAW003573,exact_email,100,contacts.csv,1938
SAGP000024,RAW000025,exact_email,100,NJ.csv,26
SAGP000024,RAW003629,exact_email,100,contacts.csv,1994
SAGP000025,RAW000026,exact_email,100,NJ.csv,27
SAGP000025,RAW003677,exact_email,100,contacts.csv,2042
SAGP000026,RAW000027,exact_email,100,NJ.csv,28
SAGP000026,RAW003716,exact_email,100,contacts.csv,2081
SAGP000027,RAW000028,exact_email,100,NJ.csv,29
SAGP000027,RAW003736,exact_email,100,contacts.csv,2101
SAGP000028,RAW000029,exact_email,100,NJ.csv,30
SAGP000028,RAW003743,exact_email,100,contacts.csv,2108
SAGP000029,RAW000030,exact_email,100,NJ.csv,31
SAGP000029,RAW003755,exact_email,100,contacts.csv,2120
SAGP000030,RAW000031,exact_email,100,NJ.csv,32
SAGP000030,RAW003787,exact_email,100,contacts.csv,2152
SAGP000031,RAW000032,exact_email,100,NJ.csv,33
SAGP000031,RAW003953,exact_email,100,contacts.csv,2318
SAGP000032,RAW000033,exact_email,100,NJ.csv,34
SAGP000032,RAW003954,exact_email,100,contacts.csv,2319
SAGP000033,RAW000034,exact_email,100,NJ.csv,35
SAGP000033,RAW000157,exact_email,100,NYD.csv,112
SAGP000033,RAW004132,exact_email,100,contacts.csv,2497
SAGP000034,RAW000035,exact_email,100,NJ.csv,36
SAGP000034,RAW004146,exact_email,100,contacts.csv,2511
SAGP000035,RAW000036,exact_email,100,NJ.csv,37
SAGP000035,RAW004342,exact_email,100,contacts.csv,2707
SAGP000036,RAW000037,exact_email,100,NJ.csv,38
SAGP000036,RAW004358,exact_email,100,contacts.csv,2723
SAGP000037,RAW000038,exact_email,100,NJ.csv,39
SAGP000037,RAW004495,exact_email,100,contacts.csv,2860
SAGP000038,RAW000039,exact_email,100,NJ.csv,40
SAGP000038,RAW004524,exact_email,100,contacts.csv,2889
SAGP000039,RAW000040,exact_email,100,NJ.csv,41
SAGP000039,RAW004633,exact_email,100,contacts.csv,2998
SAGP000040,RAW000041,exact_email,100,NJ.csv,42
SAGP000040,RAW004661,exact_email,100,contacts.csv,3026
SAGP000041,RAW000042,exact_email,100,NJ.csv,43
SAGP000041,RAW004677,exact_email,100,contacts.csv,3042
SAGP000042,RAW000043,exact_email,100,NJ.csv,44
SAGP000042,RAW004701,exact_email,100,contacts.csv,3066
SAGP000043,RAW000044,exact_email,100,NJ.csv,45
SAGP000043,RAW004734,exact_email,100,contacts.csv,3099
SAGP000044,RAW000045,exact_email,100,NJ.csv,46
SAGP000044,RAW004751,exact_email,100,contacts.csv,3116
SAGP000045,RAW000046,exact_email,100,NJ.csv,47
SAGP000045,RAW004761,exact_email,100,contacts.csv,3126
SAGP000046,RAW000047,exact_email,100,NYD.csv,2
SAGP000046,RAW001649,exact_email,100,contacts.csv,14
SAGP000047,RAW000048,exact_email,100,NYD.csv,3
SAGP000047,RAW001661,exact_email,100,contacts.csv,26
SAGP000048,RAW000051,exact_email,100,NYD.csv,6
SAGP000048,RAW001710,exact_email,100,contacts.csv,75
SAGP000049,RAW000052,exact_email,100,NYD.csv,7
SAGP000049,RAW001733,exact_email,100,contacts.csv,98
SAGP000050,RAW000053,exact_email,100,NYD.csv,8
